li_1,li_2,li_3,li_4,li_5,li_6,li_7
2.486198,2.97795064,3.36853638,3.64171026,3.89718562,4.44962458,5.1825816
2.47397851,2.96334813,3.36285421,3.6364542,3.89607433,4.42495852,5.13694395
2.45930696,2.94656948,3.3565357,3.6308478,3.8948898,4.39626812,5.08686496
2.44207283,2.92758343,3.34964319,3.62497734,3.89372677,4.36346518,5.03227449
2.4221656,2.90635872,3.34223902,3.6189291,3.89267998,4.3264615,4.9731024
2.39947475,2.88286409,3.33438553,3.61278936,3.89184417,4.28516888,4.90927855
2.37388976,2.85706828,3.32614506,3.6066444,3.89131408,4.23949912,4.8407328
2.34530011,2.82894003,3.31757995,3.6005805,3.89118445,4.18936402,4.76739501
2.31359528,2.79844808,3.30875254,3.59468394,3.89155002,4.13467538,4.68919504
2.27866475,2.76556117,3.29972517,3.589041,3.89250553,4.075345,4.60606275
2.240398,2.73024804,3.29056018,3.58373796,3.89414572,4.01128468,4.517928
2.19868451,2.69247743,3.28131991,3.5788611,3.89656533,3.94240622,4.42472065
2.15341376,2.65221808,3.2720667,3.5744967,3.8998591,3.86862142,4.32637056
2.10447523,2.60943873,3.26286289,3.57073104,3.90412177,3.78984208,4.22280759
2.0517584,2.56410812,3.25377082,3.5676504,3.90944808,3.70598,4.1139616
1.99515275,2.51619499,3.24485283,3.56534106,3.91593277,3.61694698,3.99976245
1.93454776,2.46566808,3.23617126,3.5638893,3.92367058,3.52265482,3.88014
1.86983291,2.41249613,3.22778845,3.5633814,3.93275625,3.42301532,3.75502411
1.80089768,2.35664788,3.21976674,3.56390364,3.94328452,3.31794028,3.62434464
1.72763155,2.29809207,3.21216847,3.5655423,3.95535013,3.2073415,3.48803145
1.649924,2.23679744,3.20505598,3.56838366,3.96904782,3.09113078,3.3460144
1.56766451,2.17273273,3.19849161,3.572514,3.98447233,2.96921992,3.19822335
1.48074256,2.10586668,3.1925377,3.5780196,4.0017184,2.84152072,3.04458816
1.38904763,2.03616803,3.18725659,3.58498674,4.02088077,2.70794498,2.88503869
1.2924692,1.96360552,3.18271062,3.5935017,4.04205418,2.5684045,2.7195048
1.19089675,1.88814789,3.17896213,3.60365076,4.06533337,2.42281108,2.54791635
1.08421976,1.80976388,3.17607346,3.6155202,4.09081308,2.27107652,2.3702032
0.97232771,1.72842223,3.17410695,3.6291963,4.11858805,2.11311262,2.18629521
0.85511008,1.64409168,3.17312494,3.64476534,4.14875302,1.94883118,1.99612224
0.73245635,1.55674097,3.17318977,3.6623136,4.18140273,1.778144,1.79961415
0.604256,1.46633884,3.17436378,3.68192736,4.21663192,1.60096288,1.5967008
0.47039851,1.37285403,3.17670931,3.7036929,4.25453533,1.41719962,1.38731205
0.33077336,1.27625528,3.1802887,3.7276965,4.2952077,1.22676602,1.17137776
0.18527003,1.17651133,3.18516429,3.75402444,4.33874377,1.02957388,0.94882779
0.033778,1.07359092,3.19139842,3.782763,4.38523828,0.825535,0.719592
